	clustering_label_bert	is_movie	title
148	195	1	Dolores Claiborne (1995)
149	689	1	Dumb & Dumber (Dumb and Dumber) (1994)
150	495	1	Exotica (1994)
151	422	1	Exit to Eden (1994)
152	108	1	Ed Wood (1994)
153	349	1	French Kiss (1995)
154	770	1	Far From Home: The Adventures of Yellow Dog (1995)
155	288	1	Goofy Movie, A (1995)
156	181	1	Hideaway (1995)
157	276	1	Fluke (1995)
158	149	1	Farinelli: il castrato (1994)
159	129	1	Gordy (1995)
160	281	1	Heavenly Creatures (1994)
161	282	1	Immortal Beloved (1994)
162	10	1	Heavyweights (Heavy Weights) (1995)
163	331	1	Interview with the Vampire: The Vampire Chronicles (1994)
164	409	1	Jefferson in Paris (1995)
165	221	1	Jerky Boys, The (1995)
166	107	1	Junior (1994)
167	903	1	Just Cause (1995)
168	193	1	Kid in King Arthur's Court, A (1995)
169	771	1	Kiss of Death (1995)
170	256	1	Star Wars: Episode IV - A New Hope (1977)
171	532	1	Little Women (1994)
172	960	1	Little Princess, A (1995)
173	932	1	Like Water for Chocolate (Como agua para chocolate) (1992)
174	813	1	Legends of the Fall (1994)
175	397	1	Major Payne (1995)
176	745	1	My Crazy Life (Mi vida loca) (1993)
177	817	1	Love Affair (1994)
178	46	1	Madness of King George, The (1994)
179	189	1	Mary Shelley's Frankenstein (Frankenstein) (1994)
180	631	1	Man of the House (1995)
181	211	1	Mixed Nuts (1994)
182	476	1	Milk Money (1994)
183	692	1	Miracle on 34th Street (1994)
184	634	1	Murder in the First (1995)
185	223	1	Nobody's Fool (1994)
186	214	1	Nell (1994)
187	300	1	Nemesis 2: Nebula (1995)
188	944	1	Natural Born Killers (1994)
189	268	1	Only You (1994)
190	127	1	Once Were Warriors (1994)
191	361	1	Poison Ivy II (1996)
192	236	1	Outbreak (1995)
193	767	1	Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
194	43	1	Perez Family, The (1995)
195	944	1	Pulp Fiction (1994)
196	564	1	Quiz Show (1994)
197	43	1	Queen Margot (Reine Margot, La) (1994)
198	714	1	Quick and the Dead, The (1995)
199	20	1	Three Colors: White (Trzy kolory: Bialy) (1994)
200	728	1	Rent-a-Kid (1995)
201	728	1	Stuart Saves His Family (1995)
202	150	1	Swan Princess, The (1994)
203	560	1	Specialist, The (1994)
204	199	1	Stargate (1994)
205	692	1	Santa Clause, The (1994)
206	11	1	Shawshank Redemption, The (1994)
207	764	1	Shallow Grave (1994)
208	109	1	Strawberry and Chocolate (Fresa y chocolate) (1993)
209	147	1	Swimming with Sharks (1995)
210	670	1	Sum of Us, The (1994)
211	283	1	National Lampoon's Senior Trip (1995)
212	682	1	To Live (Huozhe) (1994)
213	144	1	Tank Girl (1995)
214	82	1	Tales from the Crypt Presents: Demon Knight (1995)
215	687	1	Star Trek: Generations (1994)
216	51	1	Tales from the Hood (1995)
217	467	1	Tom & Viv (1994)
218	386	1	Village of the Damned (1995)
219	552	1	Tommy Boy (1995)
220	75	1	Walking Dead, The (1995)
221	608	1	What's Eating Gilbert Grape (1993)
222	52	1	Virtuosity (1995)
223	384	1	While You Were Sleeping (1995)
224	876	1	War, The (1994)
225	349	1	Muriel's Wedding (1994)
226	137	1	Baby-Sitters Club, The (1995)
227	986	1	Ace Ventura: Pet Detective (1994)
228	457	1	Adventures of Priscilla, Queen of the Desert, The (1994)
229	946	1	Bitter Moon (1992)
230	912	1	Bullets Over Broadway (1994)
231	398	1	Clear and Present Danger (1994)
232	342	1	Client, The (1994)
233	411	1	Corrina, Corrina (1994)
234	171	1	Crooklyn (1994)
235	397	1	Crow, The (1994)
236	370	1	Forrest Gump (1994)
237	49	1	Four Weddings and a Funeral (1994)
238	487	1	Higher Learning (1995)
239	844	1	It Could Happen to You (1994)
240	150	1	Lion King, The (1994)
241	605	1	Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)
242	771	1	Mask, The (1994)
243	78	1	Maverick (1994)
244	416	1	Paper, The (1994)
245	631	1	Reality Bites (1994)
246	52	1	Speed (1994)
247	513	1	Timecop (1994)
248	818	1	True Lies (1994)
249	143	1	When a Man Loves a Woman (1994)
250	828	1	Wolf (1994)
251	224	1	Wyatt Earp (1994)
252	166	1	S.F.W. (1994)
253	80	1	Low Down Dirty Shame, A (1994)
254	243	1	Faster Pussycat! Kill! Kill! (1965)
255	643	1	Street Fighter (1994)
256	12	1	Coldblooded (1995)
257	699	1	Desert Winds (1995)
258	485	1	Fall Time (1995)
259	72	1	Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
260	268	1	Federal Hill (1994)
261	555	1	In the Mouth of Madness (1995)
262	207	1	8 Seconds (1994)
263	770	1	Addams Family Values (1993)
264	57	1	Age of Innocence, The (1993)
265	339	1	Airheads (1994)
266	354	1	Another Stakeout (1993)
267	317	1	Bad Girls (1994)
268	380	1	Barcelona (1994)
269	435	1	Being Human (1993)
270	101	1	Beverly Hillbillies, The (1993)
271	263	1	Black Beauty (1994)
272	64	1	Blown Away (1994)
273	516	1	Body Snatchers (1993)
274	963	1	Boxing Helena (1993)
275	466	1	Bronx Tale, A (1993)
276	142	1	Cabin Boy (1994)
277	770	1	Calendar Girl (1993)
278	399	1	Carlito's Way (1993)
279	103	1	Cliffhanger (1993)
280	77	1	Coneheads (1993)
281	520	1	Color of Night (1994)
282	728	1	Cops and Robbersons (1994)
283	750	1	Cowboy Way, The (1994)
284	377	1	Dave (1993)
285	197	1	Dazed and Confused (1993)
286	169	1	Demolition Man (1993)
287	477	1	Even Cowgirls Get the Blues (1993)
288	105	1	Fatal Instinct (1993)
289	732	1	Farewell My Concubine (Ba wang bie ji) (1993)
290	127	1	Fearless (1993)
291	484	1	Fear of a Black Hat (1994)
292	241	1	Flesh and Bone (1993)
293	482	1	Firm, The (1993)
294	538	1	Free Willy (1993)
295	719	1	Fresh (1994)
296	44	1	Fugitive, The (1993)
297	293	1	Geronimo: An American Legend (1993)
298	175	1	Getaway, The (1994)
299	419	1	Go Fish (1994)
300	80	1	Guilty as Sin (1993)
301	579	1	Hard Target (1993)
302	377	1	Hot Shots! Part Deux (1993)
303	485	1	Live Nude Girls (1995)
304	623	1	Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)
305	834	1	House of the Spirits, The (1993)
306	463	1	House Party 3 (1994)
307	264	1	Hudsucker Proxy, The (1994)
308	500	1	In the Army Now (1994)
309	574	1	In the Line of Fire (1993)
310	634	1	In the Name of the Father (1993)
311	226	1	What's Love Got to Do with It? (1993)
312	960	1	Judgment Night (1993)
313	541	1	Jurassic Park (1993)
314	180	1	Kalifornia (1993)
315	490	1	Killing Zoe (1994)
316	623	1	King of the Hill (1993)
317	498	1	Lassie (1994)
318	600	1	Last Action Hero (1993)
319	859	1	Life with Mikey (1993)
320	371	1	M. Butterfly (1993)
321	847	1	Made in America (1993)
322	896	1	Malice (1993)
323	912	1	Manhattan Murder Mystery (1993)
324	824	1	Menace II Society (1993)
325	273	1	Executive Decision (1996)
326	727	1	Much Ado About Nothing (1993)
327	553	1	Mr. Jones (1993)
328	674	1	Mr. Wonderful (1993)
329	435	1	Mrs. Doubtfire (1993)
330	481	1	Next Karate Kid, The (1994)
331	971	1	No Escape (1994)
332	104	1	North (1994)
333	909	1	Orlando (1992)
334	154	1	Perfect World, A (1993)
335	670	1	Philadelphia (1993)
336	990	1	Piano, The (1993)
337	402	1	Poetic Justice (1993)
338	191	1	Radioland Murders (1994)
339	836	1	Renaissance Man (1994)
340	620	1	Road to Wellville, The (1994)
341	138	1	RoboCop 3 (1993)
342	495	1	Robin Hood: Men in Tights (1993)
343	127	1	Romeo Is Bleeding (1993)
344	327	1	Romper Stomper (1992)
345	987	1	Ruby in Paradise (1993)
346	438	1	Rudy (1993)
347	374	1	Savage Nights (Nuits fauves, Les) (1992)
348	544	1	Schindler's List (1993)
349	70	1	Searching for Bobby Fischer (1993)
350	320	1	Secret Garden, The (1993)
351	217	1	Serial Mom (1994)
352	181	1	Shadow, The (1994)
353	366	1	Shadowlands (1993)
354	616	1	Short Cuts (1993)
355	1	1	Six Degrees of Separation (1993)
356	699	1	Sleepless in Seattle (1993)
357	300	1	Blade Runner (1982)
358	143	1	Son in Law (1993)
359	446	1	So I Married an Axe Murderer (1993)
360	20	1	Harem (1985)
361	643	1	Super Mario Bros. (1993)
362	300	1	Terminal Velocity (1994)
363	21	1	Threesome (1994)
364	270	1	Nightmare Before Christmas, The (1993)
365	947	1	Three Musketeers, The (1993)
366	225	1	Tombstone (1993)
367	944	1	True Romance (1993)
368	724	1	Paris, France (1993)
369	477	1	Beans of Egypt, Maine, The (1994)
370	936	1	Welcome to the Dollhouse (1995)
371	673	1	Cronos (1993)
372	900	1	Foreign Student (1994)
373	443	1	Spanking the Monkey (1994)
374	109	1	Celluloid Closet, The (1995)
375	268	1	Dear Diary (Caro Diario) (1994)
376	148	1	Brady Bunch Movie, The (1995)
377	692	1	Home Alone (1990)
378	31	1	Ghost (1990)
379	150	1	Aladdin (1992)
380	300	1	Terminator 2: Judgment Day (1991)
381	96	1	Dances with Wolves (1990)
382	855	1	Batman (1989)
383	786	1	Silence of the Lambs, The (1991)
384	622	1	Snow White and the Seven Dwarfs (1937)
385	536	1	Beauty and the Beast (1991)
386	60	1	Pinocchio (1940)
387	53	1	Pretty Woman (1990)
388	170	1	Window to Paris (Okno v Parizh) (1994)
389	175	1	Wild Bunch, The (1969)
390	534	1	Great Day in Harlem, A (1994)
391	770	1	Bye Bye, Love (1995)
392	476	1	One Fine Day (1996)
393	145	1	Candyman: Farewell to the Flesh (1995)
394	383	1	Fargo (1996)
395	329	1	Heavy Metal (1981)
396	460	1	Hellraiser: Bloodline (1996)
397	439	1	Pallbearer, The (1996)
398	43	1	Jane Eyre (1996)
399	258	1	Bread and Chocolate (Pane e cioccolata) (1973)
400	150	1	Aristocats, The (1970)
401	59	1	Flower of My Secret, The (La flor de mi secreto) (1995)
402	43	1	Two Much (1995)
403	890	1	Last Supper, The (1995)
404	634	1	Primal Fear (1996)
405	330	1	Land and Freedom (Tierra y libertad) (1995)
406	509	1	Theodore Rex (1995)
407	738	1	Family Thing, A (1996)
408	866	1	Sgt. Bilko (1996)
409	114	1	Jack and Sarah (1995)
410	686	1	Girl 6 (1996)
411	39	1	Diabolique (1996)
412	213	1	Nelly & Monsieur Arnaud (1995)
413	157	1	Courage Under Fire (1996)
414	866	1	Mission: Impossible (1996)
415	292	1	Moll Flanders (1996)
416	472	1	301, 302 (301/302) (1995)
417	871	1	Dragonheart (1996)
418	544	1	My Mother's Courage (Mutters Courage) (1995)
419	75	1	Yankee Zulu (1994)
420	211	1	Fear (1996)
421	339	1	Kids in the Hall: Brain Candy (1996)
422	985	1	Underground (1995)
423	813	1	All Things Fair (Lust och fägring stor) (1995)
424	406	1	Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
425	430	1	Song of the Little Road (Pather Panchali) (1955)
426	58	1	Space Jam (1996)
427	53	1	Barbarella (1968)
428	289	1	Hostile Intentions (1994)
429	604	1	Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)
430	130	1	Coup de torchon (Clean Slate) (1981)
431	837	1	Windows (1980)
432	121	1	It's My Party (1996)
433	271	1	Operation Dumbo Drop (1995)
434	212	1	Mrs. Winterbourne (1996)
435	142	1	True Crime (1996)
436	821	1	Butterfly Kiss (1995)
437	135	1	Feeling Minnesota (1996)
438	123	1	Daens (1992)
439	608	1	Faces (1968)
440	568	1	Boys (1996)
441	732	1	Mulholland Falls (1996)
442	150	1	Oliver & Company (1988)
443	55	1	Dead Man (1995)
444	213	1	Horseman on the Roof, The (Hussard sur le toit, Le) (1995)
445	70	1	Visitors, The (Visiteurs, Les) (1993)
446	530	1	Multiplicity (1996)
447	568	1	Craft, The (1996)
448	86	1	Great White Hype, The (1996)
449	939	1	Last Dance (1996)
450	882	1	Cold Comfort Farm (1995)
451	57	1	Institute Benjamenta, or This Dream People Call Human Life (1995)
452	548	1	Heaven's Prisoners (1996)
453	592	1	Original Gangstas (1996)
454	855	1	Rock, The (1996)
455	664	1	Cemetery Man (Dellamorte Dellamore) (1994)
456	204	1	Twister (1996)
457	426	1	Ghost in the Shell (Kôkaku kidôtai) (1995)
458	351	1	Thinner (1996)
459	27	1	Force of Evil (1948)
460	728	1	Stupids, The (1996)
461	377	1	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
462	126	1	Stalingrad (1993)
463	271	1	Phantom, The (1996)
464	43	1	Striptease (1996)
465	647	1	Last of the High Kings, The (a.k.a. Summer Fling) (1996)
466	435	1	Jack (1996)
467	193	1	I Shot Andy Warhol (1996)
468	340	1	Spirits of the Dead (1968)
469	168	1	Trainspotting (1996)
470	254	1	Independence Day (a.k.a. ID4) (1996)
471	268	1	Stealing Beauty (1996)
472	150	1	Hunchback of Notre Dame, The (1996)
473	377	1	Cable Guy, The (1996)
474	92	1	Kingpin (1996)
475	930	1	Nutty Professor, The (1996)
476	43	1	Somebody to Love (1994)
477	109	1	Very Natural Thing, A (1974)
478	387	1	Daylight (1996)
479	460	1	Frighteners, The (1996)
480	223	1	Lone Star (1996)
481	7	1	Harriet the Spy (1996)
482	94	1	Phenomenon (1996)
483	53	1	Walking and Talking (1996)
484	674	1	She's the One (1996)
485	35	1	Time to Kill, A (1996)
486	583	1	Alaska (1996)
487	104	1	Larger Than Life (1996)
488	686	1	Two Deaths (1995)
489	924	1	Very Brady Sequel, A (1996)
490	489	1	Collector, The (La collectionneuse) (1967)
491	631	1	Regular Guys (Echte Kerle) (1996)
492	149	1	Convent, The (O Convento) (1995)
493	975	1	Joe's Apartment (1996)
494	337	1	First Wives Club, The (1996)
495	670	1	Ransom (1996)
496	284	1	High School High (1996)
497	425	1	Chain Reaction (1996)
498	7	1	Matilda (1996)
499	69	1	Emma (1996)
500	34	1	Crow: City of Angels, The (1996)
501	538	1	Eyes Without a Face (Yeux sans visage, Les) (1959)
502	863	1	Tales from the Crypt Presents: Bordello of Blood (1996)
503	776	1	Spitfire Grill, The (1996)
504	293	1	Escape from L.A. (1996)
505	557	1	Basquiat (1996)
506	713	1	Ballad of Narayama, The (Narayama Bushiko) (1958)
507	399	1	Godfather, The (1972)
508	5	1	Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992)
509	168	1	Small Faces (1996)
510	940	1	Bound (1996)
511	470	1	Death in Brunswick (1991)
512	574	1	Relic, The (1997)
513	254	1	Island of Dr. Moreau, The (1996)
514	417	1	First Kid (1996)
515	902	1	Trigger Effect, The (1996)
516	785	1	Bulletproof (1996)
517	558	1	Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)
518	146	1	Twelfth Night (1996)
519	575	1	For Whom the Bell Tolls (1943)
520	817	1	Philadelphia Story, The (1940)
521	403	1	Singin' in the Rain (1952)
522	172	1	American in Paris, An (1951)
523	599	1	Funny Face (1957)
524	313	1	Breakfast at Tiffany's (1961)
525	38	1	Vertigo (1958)
526	38	1	Rear Window (1954)
527	492	1	It Happened One Night (1934)
528	533	1	Gay Divorcee, The (1934)
529	38	1	North by Northwest (1959)
530	876	1	Apartment, The (1960)
531	323	1	Some Like It Hot (1959)
532	844	1	Charade (1963)
533	213	1	Casablanca (1942)
534	213	1	Maltese Falcon, The (1941)
535	313	1	My Fair Lady (1964)
536	313	1	Sabrina (1954)
537	320	1	Roman Holiday (1953)
538	268	1	Meet Me in St. Louis (1944)
539	799	1	Wizard of Oz, The (1939)
540	101	1	Gone with the Wind (1939)
541	982	1	My Favorite Year (1982)
542	909	1	Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
543	93	1	Citizen Kane (1941)
544	837	1	2001: A Space Odyssey (1968)
545	23	1	All About Eve (1950)
546	217	1	Women, The (1939)
547	76	1	Rebecca (1940)
548	38	1	Notorious (1946)
549	38	1	Spellbound (1945)
550	844	1	Affair to Remember, An (1957)
551	38	1	To Catch a Thief (1955)
552	801	1	Father of the Bride (1950)
553	533	1	Band Wagon, The (1953)
554	708	1	Ninotchka (1939)
555	817	1	Love in the Afternoon (1957)
556	907	1	Gigi (1958)
557	767	1	Adventures of Robin Hood, The (1938)
558	289	1	Laura (1944)
559	285	1	Ghost and Mrs. Muir, The (1947)
560	820	1	Lost Horizon (1937)
561	227	1	Top Hat (1935)
562	494	1	To Be or Not to Be (1942)
563	423	1	My Man Godfrey (1936)
564	322	1	Giant (1956)
565	444	1	Thin Man, The (1934)
566	75	1	His Girl Friday (1940)
567	386	1	Around the World in 80 Days (1956)
568	876	1	It's a Wonderful Life (1946)
569	698	1	Mr. Smith Goes to Washington (1939)
570	844	1	Bringing Up Baby (1938)
571	137	1	Penny Serenade (1941)
572	794	1	Lady of Burlesque (1943)
573	439	1	Of Human Bondage (1934)
574	67	1	Angel on My Shoulder (1946)
575	10	1	They Made Me a Criminal (1939)
576	38	1	39 Steps, The (1935)
577	323	1	Outlaw, The (1943)
578	294	1	Night of the Living Dead (1968)
579	130	1	African Queen, The (1951)
580	299	1	Beat the Devil (1953)
581	70	1	Cat on a Hot Tin Roof (1958)
582	32	1	Meet John Doe (1941)
583	213	1	Algiers (1938)
584	370	1	Farewell to Arms, A (1932)
585	994	1	Picnic (1955)
586	925	1	Madagascar Skin (1995)
587	839	1	Fly Away Home (1996)
588	361	1	Bliss (1997)
589	227	1	Grace of My Heart (1996)
590	892	1	Maximum Risk (1996)
591	735	1	Michael Collins (1996)
592	520	1	Rich Man's Wife, The (1996)
593	317	1	Last Man Standing (1996)
594	440	1	Caught (1996)
595	764	1	Set It Off (1996)
596	944	1	2 Days in the Valley (1996)
597	944	1	Curdled (1996)
598	567	1	Ed's Next Move (1996)
599	107	1	Extreme Measures (1996)
600	818	1	Glimmer Man, The (1996)
601	576	1	D3: The Mighty Ducks (1996)
602	133	1	Davy Crockett, King of the Wild Frontier (1955)
603	564	1	Herbie Rides Again (1974)
604	7	1	Parent Trap, The (1961)
605	7	1	Pollyanna (1960)
606	569	1	Homeward Bound: The Incredible Journey (1993)
607	242	1	Swiss Family Robinson (1960)
608	345	1	That Darn Cat! (1965)
609	611	1	20,000 Leagues Under the Sea (1954)
610	66	1	Cool Runnings (1993)
611	254	1	Angels in the Outfield (1994)
612	7	1	Cinderella (1950)
613	904	1	Winnie the Pooh and the Blustery Day (1968)
614	435	1	Robin Hood: Prince of Thieves (1991)
615	565	1	Mary Poppins (1964)
616	60	1	Pete's Dragon (1977)
617	565	1	Bedknobs and Broomsticks (1971)
618	927	1	Alice in Wonderland (1951)
619	150	1	Fox and the Hound, The (1981)
620	392	1	Freeway (1996)
621	565	1	Sound of Music, The (1965)
622	931	1	Die Hard (1988)
623	837	1	Lawnmower Man, The (1992)
624	688	1	Unhook the Stars (1996)
625	435	1	Secret Agent, The (1996)
626	524	1	That Thing You Do! (1996)
627	268	1	Love Is All There Is (1996)
628	890	1	Beautiful Thing (1996)
629	592	1	Long Kiss Goodnight, The (1996)
630	130	1	Ghost and the Darkness, The (1996)
631	727	1	Looking for Richard (1996)
632	121	1	Trees Lounge (1996)
633	75	1	Get on the Bus (1996)
634	974	1	Shadow Conspiracy (1997)
635	912	1	Everyone Says I Love You (1996)
636	146	1	William Shakespeare's Romeo + Juliet (1996)
637	132	1	Swingers (1996)
638	57	1	Sleepers (1996)
639	155	1	Sunchaser, The (1996)
640	686	1	Johns (1996)
641	599	1	Shall We Dance (1937)
642	533	1	Damsel in Distress, A (1937)
643	418	1	Crossfire (1947)
644	378	1	Murder, My Sweet (1944)
645	378	1	Macao (1952)
646	128	1	Willy Wonka & the Chocolate Factory (1971)
647	285	1	Innocents, The (1961)
648	912	1	Sleeper (1973)
649	631	1	Fish Called Wanda, A (1988)
650	825	1	Monty Python's Life of Brian (1979)
651	870	1	Victor/Victoria (1982)
652	155	1	Candidate, The (1972)
653	172	1	Great Race, The (1965)
654	578	1	Bonnie and Clyde (1967)
655	38	1	Dial M for Murder (1954)
656	897	1	Madame Butterfly (1995)
657	485	1	Dirty Dancing (1987)
658	944	1	Reservoir Dogs (1992)
659	793	1	Platoon (1986)
660	377	1	Weekend at Bernie's (1989)
661	38	1	Basic Instinct (1992)
662	147	1	Doors, The (1991)
663	327	1	Crying Game, The (1992)
664	27	1	Glengarry Glen Ross (1992)
665	427	1	Sophie's Choice (1982)
666	770	1	E.T. the Extra-Terrestrial (1982)
667	764	1	Search for One-eye Jimmy, The (1996)
668	933	1	Days of Thunder (1990)
669	933	1	Top Gun (1986)
670	950	1	Rebel Without a Cause (1955)
671	638	1	Streetcar Named Desire, A (1951)
672	691	1	Children of the Corn IV: The Gathering (1996)
673	112	1	Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)
674	517	1	Associate, The (1996)
675	163	1	Funeral, The (1996)
676	542	1	Eighth Day, The (Huitième jour, Le) (1996)
677	594	1	People vs. Larry Flynt, The (1996)
678	620	1	Return of the Pink Panther, The (1975)
679	320	1	Drop Dead Fred (1991)
680	748	1	Abyss, The (1989)
681	555	1	Fog, The (1980)
682	830	1	Escape from New York (1981)
683	52	1	Howling, The (1980)
684	188	1	Jean de Florette (1986)
685	724	1	Manon of the Spring (Manon des sources) (1986)
686	825	1	Monty Python and the Holy Grail (1975)
687	419	1	Everything Relative (1996)
688	762	1	Three Lives and Only One Death (Trois vies & une seule mort) (1996)
689	99	1	Line King: The Al Hirschfeld Story, The (1996)
690	68	1	Wallace & Gromit: The Wrong Trousers (1993)
691	977	1	Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)
692	570	1	Lesson Faust (1994)
693	378	1	He Walked by Night (1948)
694	608	1	Children Are Watching Us, The (Bambini ci guardano, I) (1944)
695	6	1	Tin Drum, The (Blechtrommel, Die) (1979)
696	715	1	Ruling Class, The (1972)
697	74	1	Dear God (1996)
698	828	1	Bad Moon (1996)
699	26	1	American Dream (1990)
700	44	1	Best of the Best 3: No Turning Back (1995)
701	145	1	Bob Roberts (1992)
702	473	1	Cinema Paradiso (Nuovo cinema Paradiso) (1989)
703	631	1	Cook the Thief His Wife & Her Lover, The (1989)
704	962	1	Delicatessen (1991)
